,subject,session,runs,samples,trs
756,234,ses-01,4,3727501,497
757,234,ses-01,5,1860001,248
758,234,ses-01,6,1860000,248
759,234,ses-02,1,825000,110
760,234,ses-02,2,3727501,497
761,234,ses-02,3,3720000,496
762,234,ses-02,4,3720000,496
763,234,ses-02,5,3727500,497
764,234,ses-02,6,1860001,248
765,234,ses-02,7,1860000,248
766,135,ses-01,1,3727500,497
767,135,ses-01,2,3720000,496
768,135,ses-01,3,3720001,496
769,135,ses-01,4,3727500,497
770,135,ses-01,5,1860000,248
771,135,ses-01,6,1859999,247
772,135,ses-02,1,3727500,497
773,135,ses-02,2,3720000,496
774,135,ses-02,3,3720000,496
775,135,ses-02,4,3727500,497
776,135,ses-02,5,1860000,248
777,135,ses-02,6,1860000,248
778,235,ses-01,1,3727500,497
779,235,ses-01,2,3720000,496
780,235,ses-01,3,3720000,496
781,235,ses-01,4,3727501,497
782,235,ses-01,5,1860000,248
783,235,ses-01,6,1860001,248
784,235,ses-02,1,3727500,497
785,235,ses-02,2,3720000,496
786,235,ses-02,3,3720000,496
787,235,ses-02,4,3727500,497
788,235,ses-02,5,1860000,248
789,235,ses-02,6,1860000,248
790,136,ses-01,1,3727500,497
791,136,ses-01,2,3720000,496
792,136,ses-01,3,3719999,495
793,136,ses-01,4,3727500,497
794,136,ses-01,5,1860000,248
795,136,ses-01,6,1860000,248
796,136,ses-02,1,3727500,497
797,136,ses-02,2,3720000,496
798,136,ses-02,3,3727500,497
799,136,ses-02,4,3727500,497
800,136,ses-02,5,1860000,248
801,136,ses-02,6,1860000,248
